condition,f1,pr_auc,mcc,fnr
Condition 1 — No Handling,0.8545454545454545,0.9414056289676718,0.8322693975716904,0.16612903225806452
Condition 2 — SMOTE,0.8424289008455035,0.93721936224034,0.8170500299929407,0.11612903225806452
Condition 3 — ADASYN,0.8170643528561099,0.9280213074437247,0.7901067412755809,0.08870967741935484
Condition 4 — Class Weighted,0.8480801335559266,0.9377082627018617,0.8254193250163828,0.18064516129032257
